Clave,with RSOC,with Local Security,Closed,First response,I.First Response,I.Escalamiento,I.respuesta Sub,,,05:56:00 a. m.,06:30:00 a. m.,,0.02
TPGSOC-1340417,2026-01-11T04:30:06.231-0500,2026-01-11T05:40:34.605-0500,2026-01-14T08:52:02.840-0500,2026-01-11T05:37:01.297-0500,1.12,0.06,75.25,,,,,,
TPGSOC-1340378,2026-01-11T08:22:39.666-0500,2026-01-11T13:17:13.251-0500,,2026-01-11T11:04:07.147-0500,2.69,2.22,,,,,,,
TPGSOC-1340348,,,,2026-01-11T01:55:07.485-0500,,,,,,,,,
TPGSOC-1339546,2026-01-09T20:02:45.767-0500,,2026-01-09T21:36:51.369-0500,2026-01-09T21:33:52.748-0500,1.52,,0.05,,,,,,
TPGSOC-1339529,2026-01-09T19:41:51.365-0500,,2026-01-09T21:33:46.243-0500,2026-01-09T21:33:03.613-0500,1.85,,0.01,,,,,,
TPGSOC-1339395,2026-01-10T06:13:29.517-0500,2026-01-10T06:18:40.095-0500,2026-01-14T08:53:03.998-0500,2026-01-10T06:15:50.720-0500,0.04,0.05,98.62,,,,,,
TPGSOC-1339204,2026-01-09T11:12:19.846-0500,2026-01-09T12:43:23.423-0500,2026-01-10T10:33:12.020-0500,2026-01-09T11:20:23.511-0500,0.13,1.38,23.21,,,,,,
TPGSOC-1339107,2026-01-09T09:26:18.183-0500,,2026-01-09T11:24:32.994-0500,2026-01-09T11:20:25.507-0500,1.9,,0.07,,,,,,
TPGSOC-1339091,2026-01-09T09:13:53.383-0500,2026-01-09T13:03:29.851-0500,2026-01-10T10:30:08.192-0500,2026-01-09T09:17:39.915-0500,0.06,3.76,25.21,,,,,,
TPGSOC-1339087,2026-01-09T09:11:48.966-0500,,2026-01-09T11:21:24.712-0500,2026-01-09T09:17:36.277-0500,0.1,,2.06,,,,,,
TPGSOC-1338954,2026-01-09T05:08:27.425-0500,,2026-01-09T08:07:39.671-0500,2026-01-09T05:35:25.390-0500,0.45,,2.54,,,,,,
TPGSOC-1338940,2026-01-09T05:00:35.665-0500,2026-01-09T08:44:09.805-0500,2026-01-14T03:17:20.913-0500,2026-01-09T05:35:19.646-0500,0.58,3.15,117.7,,,,,,
TPGSOC-1338905,2026-01-09T03:58:00.542-0500,,2026-01-09T08:48:53.307-0500,2026-01-09T05:31:33.777-0500,1.56,,3.29,,,,,,
TPGSOC-1338888,2026-01-09T03:37:57.910-0500,,2026-01-09T08:48:19.457-0500,2026-01-09T05:31:31.349-0500,1.89,,3.28,,,,,,
TPGSOC-1338839,2026-01-09T02:36:50.739-0500,,2026-01-09T08:46:29.587-0500,2026-01-09T03:42:46.572-0500,1.1,,5.06,,,,,,
TPGSOC-1338829,2026-01-09T02:13:21.716-0500,,2026-01-09T08:47:01.299-0500,2026-01-09T03:42:19.137-0500,1.48,,5.08,,,,,,
TPGSOC-1338368,2026-01-08T14:42:26.201-0500,2026-01-08T16:39:57.675-0500,,2026-01-08T16:26:30.931-0500,1.73,0.22,,,,,,,
TPGSOC-1338112,2026-01-08T10:43:42.404-0500,2026-01-08T12:02:10.906-0500,,2026-01-08T11:27:53.315-0500,0.74,0.57,,,,,,,
TPGSOC-1338033,2026-01-08T10:10:57.376-0500,2026-01-08T12:49:09.478-0500,,2026-01-08T10:31:11.104-0500,0.34,2.3,,,,,,,
TPGSOC-1338032,2026-01-08T09:56:57.034-0500,2026-01-08T11:27:25.952-0500,,2026-01-08T10:01:16.939-0500,0.07,1.44,,,,,,,
TPGSOC-1337947,2026-01-08T09:33:09.525-0500,2026-01-09T00:34:43.109-0500,,2026-01-08T10:01:13.422-0500,0.47,14.56,,,,,,,
TPGSOC-1337159,2026-01-07T19:36:00.781-0500,,2026-01-08T07:43:37.775-0500,2026-01-07T19:56:12.499-0500,0.34,,11.79,,,,,,
TPGSOC-1337149,2026-01-07T19:22:03.840-0500,2026-01-08T05:28:20.706-0500,,2026-01-07T19:56:13.985-0500,0.57,9.54,,,,,,,
TPGSOC-1337046,2026-01-07T14:49:32.015-0500,2026-01-08T05:11:43.199-0500,,2026-01-07T15:00:22.147-0500,0.18,14.19,,,,,,,
TPGSOC-1337033,2026-01-08T05:04:24.190-0500,2026-01-08T05:52:29.682-0500,2026-01-14T03:16:33.673-0500,2026-01-08T05:12:32.609-0500,0.14,0.67,142.07,,,,,,
TPGSOC-1337015,2026-01-07T13:26:07.581-0500,2026-01-07T14:59:10.479-0500,,2026-01-08T14:45:13.172-0500,25.32,-23.77,,,,,,,
TPGSOC-1337011,2026-01-07T13:24:13.824-0500,2026-01-07T14:28:32.714-0500,,2026-01-07T14:03:10.178-0500,0.65,0.42,,,,,,,
TPGSOC-1336989,2026-01-07T12:43:02.806-0500,2026-01-07T15:43:42.084-0500,,2026-01-07T13:04:22.950-0500,0.36,2.66,,,,,,,
TPGSOC-1336988,2026-01-07T12:40:09.605-0500,2026-01-07T14:16:27.886-0500,2026-01-14T08:54:49.653-0500,2026-01-07T13:02:51.263-0500,0.38,1.23,163.87,,,,,,
TPGSOC-1336987,2026-01-07T12:36:49.099-0500,2026-01-07T14:13:50.946-0500,2026-01-14T08:55:45.093-0500,2026-01-07T13:02:47.894-0500,0.43,1.18,163.88,,,,,,
TPGSOC-1336985,2026-01-08T01:06:18.839-0500,,2026-01-08T18:32:32.708-0500,2026-01-08T14:49:48.287-0500,13.72,,3.71,,,,,,
TPGSOC-1336031,2026-01-06T20:19:16.238-0500,2026-01-07T07:56:19.895-0500,,2026-01-06T21:47:52.443-0500,1.48,10.14,,,,,,,
TPGSOC-1335970,2026-01-06T18:48:57.060-0500,2026-01-08T21:36:30.303-0500,,2026-01-06T19:09:07.099-0500,0.34,50.46,,,,,,,
TPGSOC-1335915,2026-01-06T17:23:54.712-0500,2026-01-07T07:40:51.539-0500,2026-01-14T03:14:29.137-0500,2026-01-06T19:10:21.479-0500,1.77,12.51,176.07,,,,,,
TPGSOC-1335859,2026-01-06T15:54:44.939-0500,,2026-01-07T07:36:48.055-0500,2026-01-06T19:10:33.400-0500,3.26,,12.44,,,,,,
TPGSOC-1335680,2026-01-06T12:43:37.280-0500,2026-01-07T08:14:35.945-0500,,2026-01-06T15:09:00.553-0500,2.42,17.09,,,,,,,
TPGSOC-1335561,2026-01-06T12:51:06.539-0500,2026-01-07T14:51:06.974-0500,,2026-01-06T13:23:20.391-0500,0.54,25.46,,,,,,,
TPGSOC-1335454,2026-01-06T10:24:38.898-0500,2026-01-06T13:17:45.492-0500,,2026-01-06T10:29:40.200-0500,0.08,2.8,,,,,,,
TPGSOC-1335317,2026-01-06T08:56:32.573-0500,2026-01-06T11:15:33.566-0500,,2026-01-06T09:49:55.797-0500,0.89,1.43,,,,,,,
TPGSOC-1335217,2026-01-06T06:59:17.026-0500,2026-01-06T10:43:36.215-0500,2026-01-14T10:37:26.623-0500,2026-01-06T07:05:06.860-0500,0.1,3.64,195.54,,,,,,
TPGSOC-1334973,2026-01-06T02:00:33.694-0500,2026-01-06T08:46:30.177-0500,,2026-01-06T02:22:25.750-0500,0.36,6.4,,,,,,,
TPGSOC-1334361,2026-01-05T17:35:37.919-0500,,2026-01-06T02:11:03.202-0500,2026-01-05T19:30:10.451-0500,1.91,,6.68,,,,,,
TPGSOC-1334265,2026-01-06T07:22:55.837-0500,2026-01-06T07:22:59.637-0500,2026-01-06T07:23:18.511-0500,2026-01-06T07:23:06.868-0500,0,0,0,,,,,,
TPGSOC-1334250,2026-01-05T15:54:16.032-0500,2026-01-08T21:37:05.382-0500,,2026-01-05T16:43:54.692-0500,0.83,76.89,,,,,,,
TPGSOC-1334202,,,,,,,,,,,,,
TPGSOC-1332205,,,2026-01-14T10:34:01.967-0500,,,,,,,,,,
TPGSOC-1332079,2026-01-03T07:17:51.200-0500,,2026-01-03T11:43:45.596-0500,2026-01-03T07:39:54.673-0500,0.37,,4.06,,,,,,
